species,charge_e,x_A,y_A,z_A
Cs,1.0000000000,-2.6572116332,-29.2293442913,-18.6004926090
Cs,1.0000000000,-2.6572123634,18.6004932227,29.2293439730
Cs,1.0000000000,2.6572140084,18.6004930895,29.2293440330
Cs,1.0000000000,13.2860666681,-29.2293442798,-13.2860661219
Cs,1.0000000000,13.2860662125,13.2860670439,29.2293440871
Cs,1.0000000000,2.6572142876,-29.2293444952,-18.6004925881
Br,-1.0000000000,-10.6288503963,-29.0780814579,15.9432761351
Br,-1.0000000000,-10.6288504765,-15.9432772510,29.0780809633
Br,-1.0000000000,-29.0780821686,-10.6288509680,15.9432764207
Br,-1.0000000000,10.6288535686,-15.9432776610,29.0780811492
Br,-1.0000000000,10.6288536488,-29.0780818679,15.9432763210
Br,-1.0000000000,-15.9432766463,-10.6288508714,29.0780827214
Br,-1.0000000000,-10.6288510846,15.9432804699,29.0780817510
Br,-1.0000000000,-29.0780825740,10.6288541793,15.9432769458
Br,-1.0000000000,-10.6288506626,-29.0780822298,-15.9432807340
Br,-1.0000000000,10.6288529605,15.9432800599,29.0780819369
Br,-1.0000000000,-15.9432770517,10.6288542759,29.0780832465
Br,-1.0000000000,-29.0780846156,-15.9432773224,10.6288501753
Br,-1.0000000000,15.9432794213,-10.6288514864,29.0780830003
Br,-1.0000000000,-29.0780824350,-10.6288517399,-15.9432804484
Br,-1.0000000000,-15.9432765138,-29.0780856665,10.6288500034
Br,-1.0000000000,-29.0780828404,10.6288534074,-15.9432799233
Br,-1.0000000000,10.6288533824,-29.0780826397,-15.9432805481
Br,-1.0000000000,15.9432790159,10.6288536609,29.0780835254
Br,-1.0000000000,-29.0780847932,-15.9432778370,-10.6288544041
Br,-1.0000000000,-29.0780852236,15.9432803985,10.6288509630
Br,-1.0000000000,-15.9432766913,-29.0780861811,-10.6288545760
Br,-1.0000000000,15.9432795538,-29.0780862815,10.6288502823
Br,-1.0000000000,-29.0780854012,15.9432798839,-10.6288536164
Br,-1.0000000000,15.9432793762,-29.0780867961,-10.6288542971
Br,-1.0000000000,-21.2577027354,-7.8203758484,26.5721288570
Br,-1.0000000000,-21.2577024739,-26.5721301342,7.8203760284
Br,-1.0000000000,-7.8203778321,-21.2577036944,26.5721286338
Br,-1.0000000000,-26.5721286437,-21.2577037546,7.8203777865
Br,-1.0000000000,-26.5721288529,-7.8203800570,21.2577027252
Br,-1.0000000000,-7.8203802791,-26.5721300488,21.2577023884
Br,-1.0000000000,-26.5721288390,-21.2577041871,-7.8203801045
Br,-1.0000000000,-21.2577027254,-26.5721306027,-7.8203781238
Br,-1.0000000000,-26.5721294545,7.8203831218,-21.2577035117
Br,-1.0000000000,-21.2577029947,7.8203792515,26.5721317898
Br,-1.0000000000,-26.5721296498,21.2577061075,-7.8203790543
Br,-1.0000000000,-26.5721294544,21.2577065399,7.8203788367
Br,-1.0000000000,7.8203802346,-21.2577039732,26.5721313149
Br,-1.0000000000,-7.8203786429,21.2577066002,26.5721296840
Br,-1.0000000000,-26.5721290993,7.8203841509,21.2577056471
Br,-1.0000000000,7.8203832129,-26.5721303403,21.2577051125
Br,-1.0000000000,7.8203828578,-26.5721313694,-21.2577040463
Br,-1.0000000000,7.8203794239,21.2577063213,26.5721323651
Br,-1.0000000000,13.4373234494,-5.3144250542,31.8865553891
Br,-1.0000000000,13.4373232467,5.3144275194,31.8865556517
Br,-1.0000000000,-31.8865547894,-13.4373262054,5.3144265923
Br,-1.0000000000,-31.8865548782,-13.4373264626,-5.3144256974
Br,-1.0000000000,-5.3144251244,13.4373249376,31.8865557260
Br,-1.0000000000,-31.8865549758,-5.3144247358,13.4373268878
Br,-1.0000000000,5.3144268981,13.4373247326,31.8865558189
Br,-1.0000000000,-31.8865550794,-5.3144252965,-13.4373281189
Br,-1.0000000000,-31.8865551784,5.3144278378,13.4373271503
Br,-1.0000000000,-31.8865552821,5.3144272771,-13.4373278563
Br,-1.0000000000,-31.8865553408,13.4373289893,5.3144247097
Br,-1.0000000000,-31.8865554296,13.4373287321,-5.3144275800
Br,-1.0000000000,-21.2577025585,-21.2577036705,18.7517500743
Br,-1.0000000000,-21.2577025542,-18.7517509516,21.2577047176
Br,-1.0000000000,-18.7517505011,-21.2577036293,21.2577047068
Br,-1.0000000000,-21.2577029094,-18.7517519807,-21.2577044412
Br,-1.0000000000,18.7517530176,-21.2577043703,21.2577024746
Br,-1.0000000000,-18.7517508562,-21.2577046584,-21.2577044520
Br,-1.0000000000,-21.2577033037,18.7517541928,21.2577030790
Br,-1.0000000000,-18.7517516669,21.2577056361,-21.2577034017
Br,-1.0000000000,-21.2577028489,-21.2577045123,-18.7517537285
Br,-1.0000000000,-21.2577033692,21.2577066240,18.7517511245
Br,-1.0000000000,18.7517522068,21.2577059243,21.2577035248
Br,-1.0000000000,-21.2577036597,21.2577057822,-18.7517526782
Br,-1.0000000000,-18.7517513118,21.2577066652,21.2577057571
Cs,1.0000000000,-29.2293414471,-18.6004903716,7.9716383482
Cs,1.0000000000,-29.2293415610,-7.9716375407,18.6004909005
Cs,1.0000000000,-23.9149158637,-18.6004902605,18.6004906660
Cs,1.0000000000,-18.6004896051,-18.6004904824,23.9149166474
Cs,1.0000000000,-18.6004893147,-23.9149170524,18.6004905071
Cs,1.0000000000,-18.6004892219,-29.2293431502,7.9716381786
Cs,1.0000000000,-18.6004894497,-7.9716374884,29.2293432831
Cs,1.0000000000,-7.9716372245,-18.6004902670,29.2293431135
Cs,1.0000000000,-29.2293418939,-18.6004910493,-7.9716403147
